phen,grex,sym,ens,beta,pval,FDR,BON
anterior-cingulate,dlpfc,ADORA2B,ENSG00000170425,29.68131417180448,7.301275307699557e-06,0.0025953225536061,0.0674783863937593
anterior-cingulate,dlpfc,ASB13,ENSG00000196372,-51.30443089281604,8.959714445248371e-06,0.0030668770704809,0.0828056809029854
anterior-cingulate,dlpfc,AC097376.3,ENSG00000273247,68.40862573795073,1.2347284357139291e-05,0.0040754857867386,0.1141136020286813
anterior-cingulate,dlpfc,ZSWIM7,ENSG00000214941,16.413587695457604,1.343600839768979e-05,0.0042819168831534,0.124175589611449
anterior-cingulate,dlpfc,SNRPC,ENSG00000124562,20.779314558087847,1.4648744089598569e-05,0.0045127897625356,0.1353836928760699
anterior-cingulate,dlpfc,AC007541.1,ENSG00000260329,53.53594649165552,1.5603458632977875e-05,0.0046518440221284,0.1442071646859815
anterior-cingulate,dlpfc,AC073896.4,ENSG00000258199,112.450533425652,1.7482677368770452e-05,0.0049962403031966,0.1615749042421765
anterior-cingulate,dlpfc,OGFOD2,ENSG00000111325,822.8975619908744,1.7839853928315337e-05,0.0049962403031966,0.1648759300054903
anterior-cingulate,dlpfc,BAG6,ENSG00000204463,-17.67493395662643,2.161305522824624e-05,0.0058749369535132,0.1997478564194517
anterior-cingulate,dlpfc,AC098820.1,ENSG00000232485,102.56460913687314,3.256534607566525e-05,0.0085991122408942,0.3009689284312982
anterior-cingulate,dlpfc,ATP5MC1,ENSG00000159199,-59.97343411145653,3.5824839871962966e-05,0.0088168774392406,0.3310931700966817
anterior-cingulate,dlpfc,AC048341.1,ENSG00000257354,31.09722481282318,3.613511413168372e-05,0.0088168774392406,0.3339607248050209
anterior-cingulate,dlpfc,ARTN,ENSG00000117407,-26.752336465195725,3.62520388109873e-05,0.0088168774392406,0.3350413426911446
anterior-cingulate,dlpfc,FTSJ3,ENSG00000108592,-21.5499656649806,3.838111424267989e-05,0.0090372350480022,0.3547182578308475
anterior-cingulate,dlpfc,CAPG,ENSG00000042493,-20.47475641735353,3.969670143701217e-05,0.0090372350480022,0.3668769146808665
anterior-cingulate,dlpfc,SNF8,ENSG00000159210,-18.3932703301015,4.009160754902542e-05,0.0090372350480022,0.3705266369680929
anterior-cingulate,dlpfc,BX005019.1,ENSG00000259946,59.10114643232146,4.82995308659299e-05,0.0104988974470565,0.4463842642629241
anterior-cingulate,dlpfc,PSMC5,ENSG00000087191,-25.64784588135196,4.9217916665672337e-05,0.0104988974470565,0.4548719858241437
anterior-cingulate,dlpfc,SCARB2,ENSG00000138760,-41.38436120338741,4.99839307152659e-05,0.0104988974470565,0.4619514876704875
anterior-cingulate,dlpfc,HLA-C,ENSG00000204525,12.463737339189857,5.169707984425364e-05,0.0106174313760131,0.4777844119205922
anterior-cingulate,dlpfc,MRPS21,ENSG00000266472,36.58607166286168,6.259625385794571e-05,0.0123707956532439,0.5785145781551343
anterior-cingulate,dlpfc,COMMD7,ENSG00000149600,-41.00248472963254,6.357449856091067e-05,0.0123707956532439,0.5875555156999364
anterior-cingulate,dlpfc,PIK3CD,ENSG00000171608,51.36004117396698,6.424996660416672e-05,0.0123707956532439,0.5937981913557088
anterior-cingulate,dlpfc,SFMBT1,ENSG00000163935,-37.796229618377126,6.566416581664042e-05,0.0123850657240283,0.6068682204773908
anterior-cingulate,dlpfc,BSN-DT,ENSG00000226913,38.9638327696382,7.290260467408863e-05,0.0134753174479585,0.6737658723979272
anterior-cingulate,dlpfc,RAB24,ENSG00000169228,35.105496731932284,0.000101066673016,0.0183148665100759,0.934058192013872
anterior-cingulate,dlpfc,AC098820.3,ENSG00000241520,35.663868012820224,0.000107130892409,0.0187725227849227,0.990103707643978
anterior-cingulate,dlpfc,AL357079.1,ENSG00000237950,55.187710476188734,0.000107654588574,0.0187725227849227,0.994943707600908
anterior-cingulate,dlpfc,MST1R,ENSG00000164078,-31.99917130645468,0.0001100717860026,0.0188385823377042,1.0
anterior-cingulate,dlpfc,UHRF1BP1,ENSG00000065060,-18.038669576814826,0.0001201655754669,0.0199999064897077,1.0
anterior-cingulate,dlpfc,ITIH4,ENSG00000055955,-12.46002970018774,0.0001234691332693,0.0199999064897077,1.0
anterior-cingulate,dlpfc,BTBD19,ENSG00000222009,-59.50471211232934,0.0001251660557771,0.0199999064897077,1.0
anterior-cingulate,dlpfc,WNT10B,ENSG00000169884,19.909295532874854,0.0001255133711754,0.0199999064897077,1.0
anterior-cingulate,dlpfc,USO1,ENSG00000138768,100.209979803443,0.0001385674353552,0.0217057667381823,1.0
anterior-cingulate,dlpfc,RPS6KL1,ENSG00000198208,31.783415914941937,0.000150969960476,0.0232544062453198,1.0
anterior-cingulate,dlpfc,RMC1,ENSG00000141452,32.320729300990024,0.0001587629388717,0.024053886574627,1.0
anterior-cingulate,dlpfc,STIMATE,ENSG00000213533,-41.494966936130666,0.0001655927924814,0.0246840094856951,1.0
anterior-cingulate,dlpfc,SYT14,ENSG00000143469,-30.147906137365347,0.0001726594054214,0.0251623364897601,1.0
anterior-cingulate,dlpfc,TMEM185B,ENSG00000226479,-53.5999382199046,0.0001742468659754,0.0251623364897601,1.0
anterior-cingulate,dlpfc,EGFR,ENSG00000146648,-44.45822093800138,0.0001816283412019,0.0252723737343315,1.0
anterior-cingulate,dlpfc,DESI1,ENSG00000100418,-46.20993493640224,0.0001829914167891,0.0252723737343315,1.0
anterior-cingulate,dlpfc,SLC26A1,ENSG00000145217,-17.962156510327837,0.0001837944692988,0.0252723737343315,1.0
anterior-cingulate,dlpfc,MSH5,ENSG00000204410,-47.44414470339789,0.0001867783157194,0.0252723737343315,1.0
anterior-cingulate,dlpfc,PFAS,ENSG00000178921,-38.08359825947611,0.0001886814312561,0.0252723737343315,1.0
anterior-cingulate,dlpfc,ASB8,ENSG00000177981,-43.64090736445424,0.0001927758166799,0.0254519156822233,1.0
anterior-cingulate,dlpfc,CENPV,ENSG00000166582,13.3627724204636,0.0001993632716514,0.0259509205155244,1.0
anterior-cingulate,dlpfc,MST1,ENSG00000173531,21.136068611636954,0.0002038109771547,0.0261614034842185,1.0
anterior-cingulate,dlpfc,AC005261.1,ENSG00000268205,-121.74447416067213,0.0002094969272004,0.0265228849477547,1.0
anterior-cingulate,dlpfc,AC068025.1,ENSG00000264808,67.8020769232384,0.0002244340225641,0.027347168337449,1.0
anterior-cingulate,dlpfc,BICC1,ENSG00000122870,30.954533412015163,0.0002245090599917,0.027347168337449,1.0
anterior-cingulate,dlpfc,MICU1,ENSG00000107745,-50.431076423421096,0.0002248847428745,0.027347168337449,1.0
anterior-cingulate,dlpfc,TAGLN3,ENSG00000144834,43.5155009764474,0.0002371275762514,0.0283166831238648,1.0
anterior-cingulate,dlpfc,SUOX,ENSG00000139531,-16.73758486683886,0.0002389852070614,0.0283166831238648,1.0
anterior-cingulate,dlpfc,PPFIA1,ENSG00000131626,17.27323287955583,0.0002554183983125,0.02988071945828,1.0
anterior-cingulate,dlpfc,SREBF2,ENSG00000198911,-67.74311439894711,0.0002657192391501,0.0301307545311054,1.0
anterior-cingulate,dlpfc,TMEM165,ENSG00000134851,-34.23648672437172,0.0002659389610309,0.0301307545311054,1.0
anterior-cingulate,dlpfc,H1FNT,ENSG00000187166,-23.252501045745216,0.0002673362769477,0.0301307545311054,1.0
anterior-cingulate,dlpfc,TMEM241,ENSG00000134490,48.08056739214921,0.0002883432485124,0.0321068470211036,1.0
anterior-cingulate,dlpfc,NPC1,ENSG00000141458,18.12605043258693,0.0002981904571803,0.032808050062623,1.0
anterior-cingulate,dlpfc,HOOK2,ENSG00000095066,-64.65798798791758,0.0003107895187886,0.0337919615605204,1.0
anterior-cingulate,dlpfc,PPIL2,ENSG00000100023,44.55256115485047,0.0003428443305712,0.0368438058504538,1.0
anterior-cingulate,dlpfc,RNF39,ENSG00000204618,-19.849693326340976,0.0003744490356409,0.0397776780160137,1.0
anterior-cingulate,dlpfc,FAM221A,ENSG00000188732,22.95882695662851,0.0003880731419164,0.0407564997453564,1.0
anterior-cingulate,dlpfc,HAUS4,ENSG00000092036,-11.575144252643492,0.0004005268280287,0.0412663697440367,1.0
anterior-cingulate,dlpfc,RPL34-AS1,ENSG00000234492,32.934143726945486,0.000401858177555,0.0412663697440367,1.0
anterior-cingulate,dlpfc,TTLL6,ENSG00000170703,24.612903692746148,0.000440736613858,0.0447256949450402,1.0
anterior-cingulate,dlpfc,KMT5A,ENSG00000183955,-33.97292099839231,0.0004452244032616,0.0447256949450402,1.0
anterior-cingulate,dlpfc,SLC25A30,ENSG00000174032,-68.26363246841365,0.0004502957681709,0.0447487471982307,1.0
anterior-cingulate,dlpfc,CRHR1,ENSG00000120088,-71.6689350083667,0.0004579537258817,0.0447969769122558,1.0
anterior-cingulate,dlpfc,ZNF626,ENSG00000188171,24.39295310121052,0.0004604753090959,0.0447969769122558,1.0
anterior-cingulate,dlpfc,RPL10A,ENSG00000198755,-19.343692488614003,0.0004686955788157,0.0451217139522364,1.0
anterior-cingulate,dlpfc,FMC1,ENSG00000164898,24.39442060469188,0.0004882775317242,0.0465222778164438,1.0
anterior-cingulate,dlpfc,RAB5C,ENSG00000108774,-40.36582266696516,0.0004973320826545,0.0469014602846213,1.0
anterior-cingulate,dlpfc,ZMYND12,ENSG00000066185,-21.216427830078107,0.0005113744208176,0.0477386100726894,1.0
anterior-cingulate,dlpfc,LINC01637,ENSG00000237476,-80.01865036108431,0.0005231165009016,0.0483464270133258,1.0
anterior-cingulate,dlpfc,SRP19,ENSG00000153037,-23.21496119030036,0.0005459556268964,0.0499576426116488,1.0
caudate,dlpfc,ATP2A1,ENSG00000196296,-2718.549534407758,1.1067635325425393e-13,1.0228708567758151e-09,1.0228708567758151e-09
caudate,dlpfc,C7orf61,ENSG00000185955,-100.4239844343868,5.206757167636721e-13,2.139881044574714e-09,4.812084974329858e-09
caudate,dlpfc,AC133550.3,ENSG00000261766,554.5990756174133,6.946162230820325e-13,2.139881044574714e-09,6.419643133724143e-09
caudate,dlpfc,NPIPB7,ENSG00000233232,64.08061267267112,4.494361375045827e-12,1.0384221957043384e-08,4.1536887828173544e-08
caudate,dlpfc,MEPCE,ENSG00000146834,91.84722114542826,7.323497820345837e-12,1.3536753371127246e-08,6.768376685563623e-08
caudate,dlpfc,EIF3C,ENSG00000184110,-46.65281048234918,8.204203871169542e-11,1.2637208696224818e-07,7.58232521773489e-07
caudate,dlpfc,ZCWPW1,ENSG00000078487,-24.53396425012696,1.21816695848493e-10,1.3826373917401498e-07,1.1258299030317725e-06
caudate,dlpfc,PILRA,ENSG00000085514,-20.143739339617067,1.224382183167368e-10,1.3826373917401498e-07,1.1315740136832815e-06
caudate,dlpfc,TUFM,ENSG00000178952,-34.413675634911314,1.3793668939303488e-10,1.3826373917401498e-07,1.2748108833704283e-06
caudate,dlpfc,INA,ENSG00000148798,293.2988256714116,1.4960369960399803e-10,1.3826373917401498e-07,1.3826373917401498e-06
caudate,dlpfc,PCOLCE,ENSG00000106333,-144.1043889646775,2.9854943082395136e-10,2.508358036068144e-07,2.7591938396749586e-06
caudate,dlpfc,TSC22D4,ENSG00000166925,-149.79764135672673,4.6106484403653076e-10,3.44241397138214e-07,4.2611612885856175e-06
caudate,dlpfc,SULT1A2,ENSG00000197165,-21.21805659008609,4.842175030076585e-10,3.44241397138214e-07,4.475138162796781e-06
caudate,dlpfc,PILRB,ENSG00000121716,-16.812696516117633,6.024453434368529e-10,3.9769999028881387e-07,5.567799864043394e-06
caudate,dlpfc,NPIPB9,ENSG00000196993,39.84069378314832,9.865362253052555e-10,6.078378529514115e-07,9.117567794271172e-06
caudate,dlpfc,PDXDC1,ENSG00000179889,-44.99581108721187,2.0611630440000993e-09,1.1905793032905574e-06,1.904926885264892e-05
caudate,dlpfc,MYLK2,ENSG00000101306,59.93619509507024,2.240971821062441e-09,1.202053722168843e-06,2.0711061570259083e-05
caudate,dlpfc,AC145285.2,ENSG00000251417,30.14885535979152,2.3411563513351194e-09,1.202053722168843e-06,2.1636966999039173e-05
caudate,dlpfc,BCL2L1,ENSG00000171552,-113.43087952620655,5.7309194602834806e-09,2.787639876417891e-06,5.296515765193993e-05
caudate,dlpfc,NPIPA1,ENSG00000183426,-19.082542572314395,6.266380631335876e-09,2.8956944897403084e-06,5.791388979480616e-05
caudate,dlpfc,SULT1A1,ENSG00000196502,27.72598609242254,7.465623183183934e-09,3.2855852123326625e-06,6.899728945898592e-05
caudate,dlpfc,RNF185,ENSG00000138942,56.85345288531588,2.50662099408237e-08,1.053008692150421e-05,0.000231661912273
caudate,dlpfc,LIMK2,ENSG00000182541,-59.73149374470468,4.6517916346973686e-08,1.869211229907525e-05,0.0004299185828787
caudate,dlpfc,NUPR1,ENSG00000176046,-57.59781051973045,7.078300687774508e-08,2.7257356231838336e-05,0.0006541765495641
caudate,dlpfc,THAP9-AS1,ENSG00000251022,-20.71627070740873,7.50026764964179e-08,2.772698944719577e-05,0.0006931747361798
caudate,dlpfc,TFDP2,ENSG00000114126,58.15880496054163,7.884533383077975e-08,2.802648366400256e-05,0.000728688575264
caudate,dlpfc,CDC42SE2,ENSG00000158985,41.03563377557097,9.110418863301428e-08,3.118462634615992e-05,0.0008419849113463
caudate,dlpfc,NPIPA5,ENSG00000183793,17.676483487591963,3.206929989522632e-07,0.000105851596297,0.0029638446963168
caudate,dlpfc,LAT,ENSG00000213658,-38.012575829313285,1.2344770795144357e-06,0.0003934150747887,0.0114090371688724
caudate,dlpfc,CENPW,ENSG00000203760,-70.47890395536713,1.4088559922705993e-06,0.0004340215693521,0.0130206470805648
caudate,dlpfc,COX4I2,ENSG00000131055,-43.66145431455509,1.591792055601143e-06,0.0004745594250924,0.0147113421778657
caudate,dlpfc,MRPL43,ENSG00000055950,50.5284759717308,1.6861066591133906e-06,0.0004869686794851,0.0155829977435259
caudate,dlpfc,AC005225.2,ENSG00000258603,66.59362949002183,3.828693592680164e-06,0.0010722662479863,0.03538478618355
caudate,dlpfc,AC069307.1,ENSG00000269949,28.89014722891706,4.670482878596783e-06,0.0012695471401173,0.0431646027639914
caudate,dlpfc,DCAKD,ENSG00000172992,30.418797617949707,5.75547732444761e-06,0.0015197748980727,0.0531921214325448
caudate,dlpfc,NTAN1,ENSG00000157045,-59.387224255202334,8.545608584817509e-06,0.0021938476261356,0.0789785145408834
caudate,dlpfc,EXOC3,ENSG00000180104,-18.21559861258082,9.175219988725547e-06,0.0022918211658324,0.0847973831358015
caudate,dlpfc,WASHC3,ENSG00000120860,40.28536305953696,1.237444406867977e-05,0.0030095950548089,0.1143646120827384
caudate,dlpfc,PRSS3,ENSG00000010438,22.38899764450173,1.4396205007535086e-05,0.0033702634147067,0.1330497266796392
caudate,dlpfc,AC021683.2,ENSG00000267506,43.00197487311876,1.4586727611801677e-05,0.0033702634147067,0.1348105365882711
caudate,dlpfc,GRN,ENSG00000030582,-23.47592990097604,2.1454322933198803e-05,0.0048361183548444,0.1982808525486233
caudate,dlpfc,LRRD1,ENSG00000240720,-191.9462697762624,2.336065848597672e-05,0.0051404572792237,0.2158992057273968
caudate,dlpfc,CALHM2,ENSG00000138172,100.44544780907302,2.408242598863155e-05,0.0051760414183007,0.2225697809869327
caudate,dlpfc,MST1,ENSG00000173531,24.542049367461743,2.4774467380352523e-05,0.0051950443369157,0.228965627529218
caudate,dlpfc,ALKBH5,ENSG00000091542,23.16963602024165,2.5295065479464184e-05,0.0051950443369157,0.2337769951612079
caudate,dlpfc,GINS1,ENSG00000101003,-79.71313432293107,3.131760126731538e-05,0.0061987626928791,0.2894372709125287
caudate,dlpfc,NPIPB6,ENSG00000198156,-66.99173720745738,3.152367956776881e-05,0.0061987626928791,0.2913418465653193
caudate,dlpfc,NBEAL2,ENSG00000160796,34.16224139456687,3.270922477390442e-05,0.0062978886533421,0.3022986553604246
caudate,dlpfc,TMEM127,ENSG00000135956,-50.291702134285785,3.5105557392615066e-05,0.0066213379882152,0.3244455614225484
caudate,dlpfc,GLCCI1,ENSG00000106415,-876.5716143074839,3.619053988804581e-05,0.0066886818177802,0.3344729696453193
caudate,dlpfc,WDR55,ENSG00000120314,-33.93947740678209,3.691005980380807e-05,0.0066886818177802,0.3411227727067942
caudate,dlpfc,KBTBD2,ENSG00000170852,42.73657770881932,3.9197019062349705e-05,0.0069665163495045,0.362258850174236
caudate,dlpfc,SCAP,ENSG00000114650,19.19953314815368,4.325199880027485e-05,0.007542169300229,0.3997349729121401
caudate,dlpfc,AC060780.1,ENSG00000267002,61.96700961453022,4.451592406253656e-05,0.0076188179664067,0.4114161701859629
caudate,dlpfc,ALG5,ENSG00000120697,72.39031892217717,5.644171600427849e-05,0.0094842607147553,0.5216343393115418
caudate,dlpfc,ARHGAP27,ENSG00000159314,-32.5150904258804,6.0070182662411136e-05,0.0098280968436797,0.5551686281660038
caudate,dlpfc,UTP23,ENSG00000147679,67.36253839190084,6.061475006381167e-05,0.0098280968436797,0.5602015200897474
caudate,dlpfc,ACAT2,ENSG00000120437,133.07555527153622,6.415886969182194e-05,0.0102233840291692,0.5929562736918184
caudate,dlpfc,BDNF-AS,ENSG00000245573,26.7986681857753,6.746395002329678e-05,0.0105678275612764,0.6235018261153088
caudate,dlpfc,AC099778.1,ENSG00000260236,-75.91885493142026,7.03612047647924e-05,0.0108379709072701,0.6502782544362113
caudate,dlpfc,CORO7,ENSG00000262246,25.283556217476253,8.132706028570177e-05,0.0119343556998249,0.7516246911604557
caudate,dlpfc,THNSL1,ENSG00000185875,-58.97621911932197,8.27886722640448e-05,0.0119343556998249,0.7651329090643021
caudate,dlpfc,G6PC3,ENSG00000141349,-38.23468312172682,8.371041022124822e-05,0.0119343556998249,0.773651611264776
caudate,dlpfc,LAMTOR4,ENSG00000188186,59.20563147954363,8.387048731866441e-05,0.0119343556998249,0.7751310437990965
caudate,dlpfc,GNA13,ENSG00000120063,-49.94032869389064,8.39356330327444e-05,0.0119343556998249,0.7757331204886238
caudate,dlpfc,ITPRIPL1,ENSG00000198885,-34.42446691043,0.0001062566901395,0.0148713742922889,0.982024330269259
caudate,dlpfc,AL078587.1,ENSG00000231081,34.92131324110172,0.0001079102733929,0.0148713742922889,0.9973067466971818
caudate,dlpfc,NBR2,ENSG00000198496,11.06562530436108,0.0001094193304345,0.0148713742922889,1.0
caudate,dlpfc,GALK2,ENSG00000156958,-30.94303147208824,0.0001131208346844,0.0151516341181626,1.0
caudate,dlpfc,AP002336.2,ENSG00000254604,167.35168035326694,0.0001181644056647,0.0151992195231807,1.0
caudate,dlpfc,PCDHA8,ENSG00000204962,-39.13374679626285,0.0001183770578142,0.0151992195231807,1.0
caudate,dlpfc,NAGS,ENSG00000161653,32.03642733880825,0.000118409846967,0.0151992195231807,1.0
caudate,dlpfc,ACOT6,ENSG00000205669,21.88410127648844,0.0001245470227117,0.0157679943000209,1.0
caudate,dlpfc,AC048341.1,ENSG00000257354,29.39110063860769,0.0001349448305562,0.0168535151891946,1.0
caudate,dlpfc,TRIT1,ENSG00000043514,15.08853976982118,0.0001394270781432,0.0171811340826593,1.0
caudate,dlpfc,PAK1,ENSG00000149269,-107.31635438638172,0.0001438135854061,0.0174462246194042,1.0
caudate,dlpfc,NMT1,ENSG00000136448,-27.01825546547033,0.0001453537433125,0.0174462246194042,1.0
caudate,dlpfc,EFEMP1,ENSG00000115380,29.66102613330955,0.0001484048307417,0.0175840698168563,1.0
caudate,dlpfc,DYRK1B,ENSG00000105204,88.38111475332033,0.0001601340414527,0.0187336558367829,1.0
caudate,dlpfc,KPNB1,ENSG00000108424,146.15708480064222,0.0001670149378777,0.0192944006983212,1.0
caudate,dlpfc,LATS1,ENSG00000131023,33.80287731709012,0.0001756121615557,0.0198853898330647,1.0
caudate,dlpfc,NBR1,ENSG00000188554,160.39382401114798,0.0001785491396412,0.0198853898330647,1.0
caudate,dlpfc,AL121772.1,ENSG00000274414,36.33930977127488,0.0001785855178689,0.0198853898330647,1.0
caudate,dlpfc,L3MBTL3,ENSG00000198945,25.50769625996397,0.0001893747927121,0.0207544484346915,1.0
caudate,dlpfc,ZMAT2,ENSG00000146007,-27.014327874295724,0.0001928703873114,0.0207544484346915,1.0
caudate,dlpfc,RNF215,ENSG00000099999,45.13810737083081,0.000193550497076,0.0207544484346915,1.0
caudate,dlpfc,CCDC157,ENSG00000187860,55.29364258618196,0.0001953729727135,0.0207544484346915,1.0
caudate,dlpfc,ACOT4,ENSG00000177465,-22.96064640783488,0.0002073958225828,0.0217741032544367,1.0
caudate,dlpfc,TTC34,ENSG00000215912,42.45537040909079,0.0002111715812632,0.0217741032544367,1.0
caudate,dlpfc,PRIM1,ENSG00000198056,-43.80343399563843,0.0002120395253083,0.0217741032544367,1.0
caudate,dlpfc,GATAD1,ENSG00000157259,22.35926961334941,0.0002176265236994,0.0221022454069214,1.0
caudate,dlpfc,RPA3,ENSG00000106399,26.12800288274963,0.0002265439561499,0.022757817855841,1.0
caudate,dlpfc,LUZP1,ENSG00000169641,50.44852559054941,0.0002315998747243,0.0230155488408815,1.0
caudate,dlpfc,AC005393.1,ENSG00000276445,-85.89206905128657,0.0002476034427497,0.0243441597648162,1.0
caudate,dlpfc,SAP25,ENSG00000205307,-18.020501384946115,0.0002577056548247,0.0249418611601381,1.0
caudate,dlpfc,AC022211.2,ENSG00000263843,77.69530059644907,0.0002590801418928,0.0249418611601381,1.0
caudate,dlpfc,AL355312.2,ENSG00000231760,14.832691873083732,0.0002733883567451,0.0260479916808063,1.0
caudate,dlpfc,PPFIA1,ENSG00000131626,17.561510657046956,0.0002779817060346,0.0260822101961358,1.0
caudate,dlpfc,TRIOBP,ENSG00000100106,-22.26082337302873,0.0002793917776907,0.0260822101961358,1.0
caudate,dlpfc,HTR1D,ENSG00000179546,19.14464083879954,0.0002903981351462,0.0267133163880981,1.0
caudate,dlpfc,PFAS,ENSG00000178921,-37.78952898416404,0.0002919330183075,0.0267133163880981,1.0
caudate,dlpfc,COPA,ENSG00000122218,-24.74721285447953,0.0002974550572199,0.0269517611649638,1.0
caudate,dlpfc,TXNL4B,ENSG00000140830,-35.42601272708998,0.0003085926091754,0.0276894455728062,1.0
caudate,dlpfc,TESK2,ENSG00000070759,-48.81377138635819,0.0003206388497645,0.0284936947069568,1.0
caudate,dlpfc,SRRM3,ENSG00000177679,37.96010545377556,0.0003299131571039,0.0288157119133179,1.0
caudate,dlpfc,AC007566.1,ENSG00000244055,64.82040561179645,0.00033049831885,0.0288157119133179,1.0
caudate,dlpfc,PFN4,ENSG00000176732,-51.18909110066829,0.0003427686213138,0.0296062392353471,1.0
caudate,dlpfc,PCDHA2,ENSG00000204969,-38.52105211340123,0.0003740335459646,0.0320075743685632,1.0
caudate,dlpfc,HEATR3,ENSG00000155393,11.256642934804232,0.0003919728673401,0.0332349838528183,1.0
caudate,dlpfc,SRR,ENSG00000167720,11.963676697553758,0.000432051706388,0.0363001988221626,1.0
caudate,dlpfc,ARPC5,ENSG00000162704,-32.27582587468109,0.0004494105766764,0.0374184914382278,1.0
caudate,dlpfc,OMG,ENSG00000126861,51.105388599201646,0.0004907040826182,0.0404918493889054,1.0
caudate,dlpfc,AL138762.1,ENSG00000272572,-24.11392546845839,0.0004977161754629,0.0405216344574577,1.0
caudate,dlpfc,TRPS1,ENSG00000104447,38.61008325519793,0.0005092966840531,0.0405216344574577,1.0
caudate,dlpfc,TMEM120A,ENSG00000189077,-39.17330666071116,0.0005105729641058,0.0405216344574577,1.0
caudate,dlpfc,LAMC1,ENSG00000135862,-97.57928745568528,0.000516874613971,0.0405216344574577,1.0
caudate,dlpfc,DNAJC2,ENSG00000105821,-50.933355641955416,0.0005173659286933,0.0405216344574577,1.0
caudate,dlpfc,PCDHA10,ENSG00000250120,-19.001246282198533,0.0005215247371711,0.0405216344574577,1.0
caudate,dlpfc,STIMATE,ENSG00000213533,-39.09279294239877,0.0005217566003503,0.0405216344574577,1.0
caudate,dlpfc,AP000787.1,ENSG00000245552,-42.44004594726687,0.0005315945688492,0.0408449545988262,1.0
caudate,dlpfc,TMEM199,ENSG00000244045,37.718009382891616,0.0005347586568338,0.0408449545988262,1.0
caudate,dlpfc,NPIPA2,ENSG00000254852,36.32459414188477,0.0005516611238907,0.0417905910409659,1.0
